,IP,ASN
10946,5.249.226.0,INIC
10962,5.250.176.0,PMGC-AS
10965,5.250.232.0,ZETTALINE-AS
11187,5.254.160.0,MACACE
11233,5.255.76.0,ASN-WDT
11237,5.255.89.0,SCALASOLUTIONS-AS
11242,5.255.130.0,SAVACOAS
11247,5.255.139.0,HYPERNEPH
11371,8.2.69.0,SUNOVION - Sunovion Pharmaceuticals Inc.
11373,8.2.71.0,"ELDERHOSTEL - Elderhostel, Inc."
11383,8.2.104.0,"DOUGH-INC-NY5 - dough, Inc."
11532,8.7.108.0,"HDL - Health Diagnostic Laboratory, Inc."
11536,8.7.200.0,"FOURPOINT - FourPoint Energy, LLC"
11570,8.8.226.0,GAIA - Gaia
11620,8.10.69.0,AUDANYCBGP4 - Auda Advisor Associates LLC
11627,8.10.140.0,"CCC-HART - Campus Crusade for Christ, Inc."
11655,8.11.195.0,"MIZUHO-BANK-LIMITED-NAT - Mizuho Bank, Ltd."
11667,8.12.6.0,DIRECTSAT-TV - Direct Sat TV
11691,8.12.60.0,"LS-POWER-ASN-02 - LS Power Development, LLC"
11693,8.12.62.0,DON-JARVIS - Data Innovations LLC
11715,8.12.250.0,"ACBB-BITS-ASN - ACBB-BITS, LLC"
11716,8.12.251.0,PRINCETON-HEALTHCARE-SYSTEM - Princeton Healthcare System
11718,8.12.253.0,QUOTEMEDIA - Quotemedia
11815,8.14.103.0,"CCML-ASN - Cantillon Capital Management, LLC"
11834,8.14.164.0,ECRI - ECRI
11868,8.15.244.0,"SOUNDBITE - Soundbite Communications, Inc."
11906,8.17.107.0,AS40311
11920,8.17.181.0,"IOSTUDIO - iostudio, LLC"
11956,8.18.61.0,AS396858
11980,8.18.193.0,ASN-PCT - Peets Coffee & Tea
11988,8.18.217.0,FASTLY-IT - Fastly
12007,8.19.49.0,"ZEUSINC-AS - Zeus Industrial Products, Inc."
12035,8.19.178.0,"PROSITES-WC1 - ProSites, Inc."
12039,8.19.201.0,"INXPO-AS - INXPO, inc."
12072,8.20.41.0,"DFI - DFI Resources, LLC."
12088,8.20.69.0,TOLL-GIBR - TOLL BROTHERS INC
12090,8.20.73.0,NHL-ENT - NHL Enterprises
12091,8.20.74.0,DAVIDSBRIDAL - David's Bridal
12095,8.20.87.0,ASN-ADCOPY - AdCopy Inc
12097,8.20.90.0,CAMPUSDOOR - Campus Door Holdings Inc.
12109,8.20.118.0,"OFI-SEATTLE - OppenheimerFunds, Inc."
12110,8.20.119.0,STCU - SPOKANE TEACHERS CREDIT UNION
12113,8.20.161.0,BEAVER-VISITEC-INTERNATIONAL-WALTHAM - Beaver Visitec International Inc
12159,8.21.81.0,"DTBDS-1 - DTB Data Services, LLC"
12168,8.21.102.0,"TAFT-STETTINIUS-HOLLISTER - Taft, Stettinius & Hollister, LLP"
12178,8.21.129.0,"CF-ASN - CARLTON FIELDS, P.A."
12179,8.21.130.0,NFINANSE - nfinanse inc.
12183,8.21.151.0,"RSCSAS - Restaurant Supply Chain Solutions, LLC"
12192,8.21.164.0,"CONTACTUAL - Contactual, Inc."
12195,8.21.168.0,"STRIPE - Stripe, Inc."
12204,8.21.212.0,"TMGHEALTH-FTW - TMG Health, Inc"
12206,8.21.229.0,BCAUSE-MINING - BCause Mining LLC
12222,8.22.67.0,ADTRAV - Adtrav Corporation
12238,8.22.137.0,CHP-CONSULTING - Alfa Financial Software Inc
12246,8.22.178.0,"NO - Toktumi, Inc."
12252,8.22.216.0,NPD-ASN-HQ-01 - Naperville Park District
12308,8.24.66.0,POMCO-AS1 - POMCO
12355,8.25.19.0,HUDSON-POTOMAC - Hudson Potomac Services Corp
12374,8.25.73.0,"GTNUSLLC - Global Tax Network US, LLC"
12383,8.25.129.0,APPRENDA-INC - Apprenda Inc
12386,8.25.147.0,"ASN-PCML-9 - P&S Credit Management, L.P."
12392,8.25.158.0,NHS-39AS - The New-York Historical Society
12397,8.25.174.0,MSI-ASN - Member Solutions Inc.
12410,8.25.207.0,"CORSAIR-COMPONENTS - Corsair Components, Inc."
12415,8.25.218.0,"8X8-AS-1 - 8x8, Inc."
12438,8.26.44.0,"NEXTGEAR-CAPITAL-SUPERNAP - NextGear Capital, Inc."
12471,8.26.184.0,"STIFEL - Stifel, Nicolaus & C"
12485,8.27.76.0,"WEBLICATIONS - Weblications, LLC"
12523,8.28.31.0,KCG-INC - Knowledge Consulting Group Inc.
12531,8.28.52.0,"DFHQ - DrFirst.com, Inc."
12538,8.28.60.0,"SAGAMORE - SAGAMORE HEALTH NETWORK, INC."
12542,8.28.69.0,"EXCLUSIVE-RESORTS - Exclusive Resorts, LLC"
12570,8.28.172.0,ICS-OAK-BROOK-HQ - Inland Computer Services Inc
12574,8.28.180.0,ECHO-GLOBAL - Echo Global Logistics
12592,8.29.1.0,DPR - DPR Construction
12611,8.29.88.0,"AURA-L3-01 - Auravox, LLC"
12617,8.29.102.0,VEEAM-US2 - VEEAM SOFTWARE CORPORATION
12620,8.29.107.0,"SP-ASN01 - Servpro Industries, Inc."
12631,8.29.198.0,FEEDLY-DEVHD
12655,8.30.81.0,AMTECHCOMM - amtech communications
12673,8.30.157.0,OBXFC - OtterBox
12718,8.31.175.0,NIBWAN01 - National Industries for the Blind
12741,8.33.24.0,"TRANSAM-ASN - Transam Trucking, Inc"
12771,8.33.138.0,TFS-US-WEST-SV5 - Fisher Scientific
